Longitude,Latitude,Country-CH,Country,Report number,Disease,Genotype/ Serotype/ Subtype,Reason,Start date,Report date,reportId,reportStatus,eventId,eventStatus,animalType
84.124008,28.394857,尼泊尔,Nepal,FUR_15,African swine fever virus (Inf. with) ,,First occurrence in the country,2022/03/19,2023/03/15,159845,Validated,4458,On-going,terrestrial
10.451526,51.165691,德国,Germany,FUR_17,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2021/11/26,2023/03/14,159843,Validated,4128,On-going,terrestrial
10.451526,51.165691,德国,Germany,FUR_3,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2023/01/16,2023/03/14,159842,Validated,4843,On-going,terrestrial
-80.782127,8.537981,巴拿马,Panama,FUR_5,New world screwworm (Cochliomyia hominivorax) ,,Recurrence of an eradicated disease,2022/08/16,2023/03/14,159841,Validated,4597,On-going,terrestrial
10.451526,51.165691,德国,Germany,FUR_17,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2021/10/20,2023/03/14,159840,Validated,4026,On-going,terrestrial
-80.782127,8.537981,巴拿马,Panama,FUR_10,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,First occurrence in the country,2022/12/14,2023/03/14,159839,Validated,4789,On-going,terrestrial
-14.452362,14.497401,塞内加尔,Senegal,IN,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,First occurrence in a zone or a compartment,2023/03/05,2023/03/14,159838,Validated,4967,On-going,terrestrial
10.451526,51.165691,德国,Germany,FUR_13,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2021/11/15,2023/03/14,159837,Validated,4101,On-going,terrestrial
-71.542969,-35.675147,智利,Chile,IN,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,First occurrence in a zone or a compartment,2023/03/10,2023/03/14,159836,Validated,4966,On-going,terrestrial
28.369885,47.411631,摩尔多瓦,Moldova,FUR_2,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/03/05,2023/03/14,159835,Validated,4957,On-going,terrestrial
15.472962,49.817492,捷克共和国,Czech Republic,FUR_8,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/11/29,2023/03/14,159834,Validated,4761,On-going,terrestrial
15.472962,49.817492,捷克共和国,Czech Republic,FUR_6,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/12/08,2023/03/14,159833,Validated,4836,On-going,terrestrial
15.472962,49.817492,捷克共和国,Czech Republic,FUR_8,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/12/01,2023/03/14,159832,Validated,4763,On-going,terrestrial
24.603189,56.879635,拉脱维亚,Latvia,FUR_10,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/01/02,2023/03/14,159829,Validated,4821,On-going,terrestrial
,,,United States of America,FUR_56,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/02/07,2023/03/16,159828,Validated,4309,On-going,terrestrial
-14.452362,14.497401,塞内加尔,Senegal,IN,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2023/03/08,2023/03/13,159817,Validated,4964,On-going,terrestrial
8.227512,46.818188,瑞士,Switzerland,FUR_28,SARS-CoV-2 in animals (Inf. with),,Emerging disease,2021/01/21,2023/03/13,159816,Validated,3521,On-going,terrestrial
-3.74922,40.463667,西班牙,Spain,FUR_3,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/12/14,2023/03/13,159815,Validated,4786,On-going,terrestrial
8.227512,46.818188,瑞士,Switzerland,IN,Bovine spongiform encephalopathy ,,Recurrence of an eradicated disease,2023/03/03,2023/03/13,159813,Validated,4962,On-going,terrestrial
24.96676,45.943161,罗马尼亚,Romania,FUR_1,Viral haemorrhagic septicaemia virus (Inf. with),,Recurrence,2023/01/25,2023/03/14,159812,Validated,4882,On-going,aquatic
4.469936,50.503887,比利时,Belgium,FUR_7,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5 (N untyped),Recurrence of an eradicated disease,2021/11/15,2023/03/13,159811,Validated,4094,On-going,terrestrial
24.96676,45.943161,罗马尼亚,Romania,FUR_67,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2021/09/09,2023/03/17,159809,Validated,3948,On-going,terrestrial
12.56738,41.87194,意大利,Italy,FUR_59,African swine fever virus (Inf. with) ,,New strain in a zone or a compartment,2022/01/03,2023/03/15,159806,Validated,4223,On-going,terrestrial
28.369885,47.411631,摩尔多瓦,Moldova,FUR_5,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/01/27,2023/03/13,159804,Validated,4866,On-going,terrestrial
28.369885,47.411631,摩尔多瓦,Moldova,FUR_1,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/02/22,2023/03/13,159802,Validated,4932,On-going,terrestrial
28.369885,47.411631,摩尔多瓦,Moldova,FUR_6,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/02/07,2023/03/13,159801,Validated,4897,On-going,terrestrial
28.369885,47.411631,摩尔多瓦,Moldova,FUR_6,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/01/19,2023/03/13,159799,Validated,4850,Resolved,terrestrial
28.369885,47.411631,摩尔多瓦,Moldova,FUR_1,African swine fever virus (Inf. with) ,,First occurrence in a zone or a compartment,2023/03/06,2023/03/13,159798,Validated,4956,On-going,terrestrial
24.96676,45.943161,罗马尼亚,Romania,FUR_88,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2021/02/12,2023/03/17,159797,Validated,3721,On-going,terrestrial
24.96676,45.943161,罗马尼亚,Romania,FUR_55,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2021/09/10,2023/03/14,159796,Validated,3949,On-going,terrestrial
24.96676,45.943161,罗马尼亚,Romania,FUR_166,African swine fever virus (Inf. with) ,,First occurrence in a zone or a compartment,2019/10/06,2023/03/14,159795,Validated,3054,On-going,terrestrial
34.851612,31.046051,以色列,Israel,FUR_8,Mycobacterium tuberculosis complex (Inf. with)(2019-),,Recurrence of an eradicated disease,2019/03/01,2023/03/12,159791,Validated,2855,On-going,terrestrial
34.851612,31.046051,以色列,Israel,FUR_19,Foot and mouth disease virus (Inf. with) ,O,Recurrence of an eradicated disease,2022/02/01,2023/03/12,159790,Validated,4305,Resolved,terrestrial
34.851612,31.046051,以色列,Israel,FUR_4,Foot and mouth disease virus (Inf. with) ,O,Recurrence of an eradicated disease,2022/12/18,2023/03/12,159789,Validated,4808,Resolved,terrestrial
-86.241905,15.199999,洪都拉斯,Honduras,FUR_2,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,First occurrence in the country,2022/12/18,2023/03/12,159786,Validated,4824,On-going,terrestrial
,,,Uruguay,IN,Equine infectious anaemia ,,Recurrence of an eradicated disease,2023/03/10,2023/03/10,159785,Validated,4961,On-going,terrestrial
-63.616672,-38.416097,阿根廷,Argentina,FUR_2,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5 (N untyped),First occurrence in the country,2023/02/24,2023/03/13,159783,Validated,4933,On-going,terrestrial
34.851612,31.046051,以色列,Israel,FUR_48,Newcastle disease virus (Inf. with) ,,Recurrence of an eradicated disease,2013/12/22,2023/03/10,159781,Validated,1484,On-going,terrestrial
-71.542969,-35.675147,智利,Chile,FUR_6,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,First occurrence in a zone or a compartment,2022/12/05,2023/03/13,159780,Validated,4775,On-going,terrestrial
,,,United States of America,FUR_56,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2021/12/30,2023/03/16,159779,Validated,4247,On-going,terrestrial
10.451526,51.165691,德国,Germany,FUR_2,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/12/19,2023/03/10,159778,Validated,4840,On-going,terrestrial
-3.435973,55.378051,联合王国,United Kingdom,FUR_22,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/09/25,2023/03/10,159776,Validated,4644,On-going,terrestrial
-63.616672,-38.416097,阿根廷,Argentina,FUR_5,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),Untyped or partially typed,First occurrence in the country,2023/02/11,2023/03/14,159774,Validated,4908,On-going,terrestrial
,,,United States of America,FUR_22,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Unusual host species,2022/03/30,2023/03/16,159773,Validated,4451,On-going,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_1,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/10/23,2023/03/10,159765,Validated,4690,Resolved,terrestrial
-3.74922,40.463667,西班牙,Spain,FUR_2,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2023/01/05,2023/03/13,159764,Validated,4928,On-going,terrestrial
105.318756,61.52401,俄罗斯,Russia,IN,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/03/04,2023/03/10,159763,Validated,4958,On-going,terrestrial
17.228331,26.3351,利比亚,Libya,FUR_6,Foot and mouth disease virus (Inf. with) ,O,Recurrence of an eradicated disease,2021/06/17,2023/03/09,159755,Validated,3835,On-going,terrestrial
12.56738,41.87194,意大利,Italy,FUR_15,Epizootic hemorrhagic disease virus (Inf. with) ,Pending,First occurrence in the country,2022/10/28,2023/03/15,159754,Validated,4712,On-going,terrestrial
36.238414,30.585164,约旦,Jordan,FUR_2,Foot and mouth disease virus (Inf. with) ,SAT 2,New strain in the country,2023/01/26,2023/03/09,159750,Validated,4906,Resolved,terrestrial
,,,Faeroe Islands,FUR_12,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/05/09,2023/03/09,159749,Validated,4512,On-going,terrestrial
12.56738,41.87194,意大利,Italy,FUR_1,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated strain,2023/03/06,2023/03/15,159747,Validated,4953,On-going,terrestrial
23.881275,55.169438,立陶宛,Lithuania,FUR_5,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,New strain in the country,2022/02/09,2023/03/09,159736,Validated,4333,Resolved,terrestrial
138.252924,36.204824,日本,Japan,FUR_7,SARS-CoV-2 in animals (Inf. with),,Emerging disease,2020/07/26,2023/03/10,159732,Validated,3310,On-going,terrestrial
-78.183406,-1.831239,厄瓜多尔,Ecuador,FUR_4,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,First occurrence in the country,2022/11/25,2023/03/13,159729,Validated,4748,On-going,terrestrial
12.56738,41.87194,意大利,Italy,FUR_22,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/09/22,2023/03/15,159728,Validated,4640,On-going,terrestrial
,,,South Africa,FUR_42,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,New strain in the country,2021/05/13,2023/03/08,159716,Validated,3733,On-going,terrestrial
,,,South Africa,FUR_55,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2021/03/04,2023/03/08,159713,Validated,3649,On-going,terrestrial
10.451526,51.165691,德国,Germany,FUR_22,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2021/10/20,2023/03/07,159693,Validated,4025,On-going,terrestrial
78.96288,20.593684,印度,India,IN,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2023/02/02,2023/03/09,159692,Validated,4950,On-going,terrestrial
,,,South Africa,FUR_28,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2021/02/10,2023/03/10,159690,Validated,3579,On-going,terrestrial
,,,South Africa,FUR_75,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2019/04/15,2023/03/10,159688,Validated,2875,On-going,terrestrial
10.451526,51.165691,德国,Germany,FUR_5,West Nile Fever ,,Recurrence of an eradicated disease,2022/07/05,2023/03/07,159684,Validated,4527,Resolved,terrestrial
138.252924,36.204824,日本,Japan,FUR_3,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5 (N untyped),Recurrence of an eradicated strain,2022/10/21,2023/03/08,159681,Validated,4790,On-going,terrestrial
-71.542969,-35.675147,智利,Chile,FUR_2,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5 (N untyped),Unusual host species,2023/02/10,2023/03/07,159677,Validated,4922,On-going,terrestrial
