页数,文章链接,文章标题,时间,来源,作者,浏览量
51,https://www.jhc.cn/2021/0331/c4548a130133/page.htm,校团委举行共青团“学党史、强信念、跟党走”学习教育动员会暨首场“青年先锋”青年宣讲团授旗仪式,2021-03-31,校团委,胡宇翔,1351
51,https://www.jhc.cn/2021/0331/c4548a130128/page.htm,我校丽泽空间通过科技部复核再次备案为国家级众创空间,2021-03-31,就业指导处  创业学院  ,潘方斌,1087
51,https://www.jhc.cn/2021/0327/c4548a129974/page.htm,金职院党委理论中心组专题学习习近平总书记在党史学习教育动员大会上的重要讲话精神,2021-03-27,宣传部（文化育人办公室）,李琳 奚亚妮  摄影 郑胜杰,1378
51,https://www.jhc.cn/2021/0327/c4548a129972/page.htm,金职院党委召开专题学习会,2021-03-27,宣传部（文化育人办公室）,王璐 摄影 郑胜杰,867
51,https://www.jhc.cn/2021/0326/c4548a129948/page.htm,校长梁克东在全省语言文字会议上作交流发言,2021-03-26,教务处 ,陈紫蔚,890
52,https://www.jhc.cn/2021/0325/c4548a129865/page.htm,金职院召开2021年科研工作会议,2021-03-25,科技处 ,高欢姿,1252
52,https://www.jhc.cn/2021/0323/c4548a129765/page.htm,金职院召开2021年全面从严治党工作会议  ,2021-03-23,宣传部（文化育人办公室）,奚亚妮 摄影 孙立臣,1647
52,https://mp.weixin.qq.com/s/D9Dry6TgFmkzTBByE2n9vw,献礼百年| “共唱、共读、共誓”  金职深情献给党,2021-03-22,,,
52,https://www.jhc.cn/2021/0322/c4548a129675/page.htm,金职院原党委书记杜世禄荣获“中国职业教育领军人物“殊荣,2021-03-22,院 办,吕锋华 摄影：张赛,1490
52,https://www.jhc.cn/2021/0320/c4548a129659/page.htm,金职院党委召开会议 传达学习2021年全国“两会”精神,2021-03-20,宣传部（文化育人办公室）,于辰辰,1112
52,https://mp.weixin.qq.com/s/ooQ4yO6RZyOQ5NMSKyCZTQ,学党史 知校史 悟思想 开新局 ——金职院召开党史学习教育动员部署会,2021-03-18,,,
52,https://mp.weixin.qq.com/s/H1woaxNvGTEl3WM0AS2ymw,金华市乡村振兴学院在金职院正式成立,2021-03-18,,,
52,https://www.jhc.cn/2021/0318/c4548a129593/page.htm,市委副书记蔡永波来金职院走访调研、指导工作,2021-03-18,宣传部（文化育人办公室）,王璐 孙立臣 摄像 王天,1651
52,https://www.jhc.cn/2021/0315/c4548a129493/page.htm,中国应急管理学会副秘书长胡韬一行来金职院会谈应急管理学院建设相关工作,2021-03-16,建筑工程学院,陶晶,1666
52,https://www.jhc.cn/2021/0316/c4548a129479/page.htm,金职院举办2021年春季新兵入伍欢送会,2021-03-16,学生处,金飞龙 摄影 王天 钟莉雅,1759
52,https://www.jhc.cn/2021/0314/c4548a129247/page.htm,首战“开门红”！医学生喜获省大学生医学技术技能大赛金奖,2021-03-15,医学院,吴 琳 孔慧梅 周向锋,1241
52,https://mp.weixin.qq.com/s/fnftjHnUxwdtK21Ki__M-Q,金职院隆重召开校七届一次教职工暨工会会员代表大会,2021-03-12,,,
52,https://www.jhc.cn/2021/0311/c4548a129212/page.htm,金职院召开劳动教育通识课程开发研讨会,2021-03-12,公共基础学院,王晓斌,1260
52,https://www.jhc.cn/2021/0311/c4548a129199/page.htm,全面加强和改进新时代学校体育工作——金职院体育工作委员会召开2021年度工作会议,2021-03-11,公共基础学院,叶帅,929
53,https://www.jhc.cn/2021/0310/c4548a129163/page.htm,海棠花开心向阳​ —— 浙江省委常委、宣传部长朱国贤来金职院检查指导工作,2021-03-10,宣传部（文化育人办公室）,王璐 摄影 郑胜杰 摄像孙立臣,2314
53,https://www.jhc.cn/2021/0315/c4548a129246/page.htm,市社科联主席方鹰一行来金职院调研指导工作,2021-03-10,科技处 ,黄雪芳,930
53,https://www.jhc.cn/2021/0309/c4548a129092/page.htm,金职院党委书记王振洪一行赴金华教育学院开展工作调研,2021-03-09,宣传部（新闻中心）,郑胜杰,1165
53,https://www.jhc.cn/2021/0308/c4548a129055/page.htm,金职师生热议全国两会,2021-03-08,综合,,981
53,https://www.jhc.cn/2021/0305/c4548a128981/page.htm,春色满园新一年   走访调研新期许,2021-03-05,宣传部（文化育人办公室）,王璐 奚亚妮 摄影 郑胜杰 王天,1509
53,https://www.jhc.cn/2021/0305/c4548a128968/page.htm,金职院立项“国家职业教育虚拟仿真示范实训基地”专业课程与教学资源建设项目,2021-03-05,教务处,单 盈 余经纬,1528
53,https://www.jhc.cn/2021/0305/c4548a128947/page.htm,聚焦双高建设再提标  聚力本科申办再提质 ——金职院召开2021年度全体教职工大会,2021-03-05,宣传部（文化育人办公室）,王璐 摄影 孙立臣,5170
53,https://www.jhc.cn/2021/0305/c4548a128939/page.htm,立足新发展阶段 贯彻新发展理念 构建新发展格局 金职院党委开展第十三期“夜学”,2021-03-05,宣传部（文化育人办公室）,于辰辰 摄影 孙立臣,956
53,https://www.jhc.cn/2021/0304/c4548a128916/page.htm,省科技厅党组书记何杏仁一行调研金职院省农作物收获装备技术重点实验室,2021-03-04,宣传部（文化育人办公室）,奚亚妮 摄影：王天,1015
