页数,文章链接,文章标题,时间,来源,作者,浏览量
30,https://www.jhc.cn/2022/0111/c4548a140732/page.htm,“养老育幼”国家级职业教育教师教学创新团队协作共同体成立大会在金职院召开,2022-01-12,医学院,董丽华,387
30,https://mp.weixin.qq.com/s/JUkmuQkgn_OydvdD8yZMlQ,金职院召开第五届教学能力比赛启动会,2022-01-11,,,
30,https://mp.weixin.qq.com/s/CLwOwOJLL4GfFR7GCIU8EQ,金职院党委开展第22期夜学,2022-01-10,,,
30,https://www.jhc.cn/2022/0110/c4548a140616/page.htm,立足规范 彰显品牌 力推学校高质量发展   ——金职院召开2021年继续教育工作分析会,2022-01-09,继续教育处,陈泓伊,430
30,https://mp.weixin.qq.com/s/GxwxjXPFG5MBYbZTCPwI3w,这“疫”关，我们都是答卷人！,2022-01-07,,,
30,https://www.jhc.cn/2022/0107/c4548a140607/page.htm, “疫”不容辞  让党旗飘扬在疫情防控一线,2022-01-07,组织部,周孝强,430
30,https://www.jhc.cn/2022/0106/c4548a140597/page.htm,金职院连夜开展全员核酸检测,2022-01-06,金华职业技术学院,,4487
31,https://www.jhc.cn/2022/0105/c4548a140594/page.htm,校长梁克东到医学院宣讲党的十九届六中全会精神,2022-01-05,医学院  ,周飞腾,347
31,https://www.jhc.cn/2022/0105/c4548a140582/page.htm,全国电子商务职业教育教学指导委员会常务副主任陆春阳一行来学校考察指导,2022-01-05,商学院（金义网络经济学院）,施学良,729
31,https://www.jhc.cn/2021/1231/c4548a140400/page.htm,金职院党委召开校园安全专项整顿工作专题会议,2021-12-31,校办,郑湛淼,912
31,https://www.jhc.cn/2021/1231/c4548a140398/page.htm,金职院党委召开2021年第四季度全面从严治党专题会议,2021-12-31,校办,王升,465
31,https://www.jhc.cn/2021/1231/c4548a140340/page.htm,金职院召开2021年度专业建设重点突破与特色创新项目交流会,2021-12-31,教务处,朱友银 辛奇,627
31,https://www.jhc.cn/2021/1230/c4548a140304/page.htm,金职院图书馆获批成为中国图书馆学会高职院校图书馆分会主任单位,2021-12-30,图档中心  ,金乐,498
31,https://www.jhc.cn/2021/1229/c4548a140292/page.htm,“述”出使命 “评”出担当  ——金职院召开2021年度二级党委（直属支部）书记抓党建思政工作述职评议会,2021-12-29,组织部,陈静泓,910
31,https://www.jhc.cn/2021/1229/c4548a140289/page.htm,坚持思想引领  强化主责主业  ——金职院举行2021年二级学院团委负责人述职会,2021-12-29,校团委,胡宇翔 赵倩,776
31,https://mp.weixin.qq.com/s/MaM6brkhOawYRk5y0YSV4A,金职院入选第二批全省党建工作示范高校等4个党建“双创”培育创建单位,2021-12-28,,,
31,https://www.jhc.cn/2021/1228/c4548a140245/page.htm,金职院党委书记王振洪应邀在全国职业教育高质量发展研讨会上作专题报告,2021-12-28,教务处、双高办,张猛,940
31,https://www.jhc.cn/2021/1227/c4548a140176/page.htm,副校长成军受邀在“2021中国-印度职业教育合作研讨会”上作专题发言,2021-12-27,教务处,朱友银,579
31,https://www.jhc.cn/2021/1224/c4548a140163/page.htm,金职院位列全国高职院校教师教学发展指数榜单第三,2021-12-24,教师发展中心,李泓冰,653
31,https://www.jhc.cn/2021/1223/c4548a140135/page.htm,全国商务数据开发与应用职业教育集团2021年会在金职院召开,2021-12-23,商学院, 楼小明,1024
