工作名称,地址,薪资,经验要求,学历要求,技能要求,联系人,公司名,公司相关信息,公司福利,详情页url
人脸识别销售专员,杭州/拱墅区/蓝钻天城购物中心,5-10K,经验不限,学历不限,面销/陌拜/对企业/机构（To B）销售经验/企业（To B）/面销/渠道销售/全职,余女士/行政,亚希,通信/网络设备/不需要融资/0-20人,员工旅游/餐补/五险一金/年终奖/节日福利/交通补助/全勤奖/带薪年假,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.21&securityId=rNdKXe0M5KJUR-O1nLCJLzLHV-pfEk_GhLBN66gtgwAdzCDK6hVAMZn71pa4AkM0ikeOBkYEreHh9Gd8K58qsxkoK7BlWK_TqMZ_b_abHchd_V9s6cgsaZd2Wzwz1bi3dZlfgjuOOOo~
技术售后,杭州//,4-9K,经验不限,学历不限,人工智能/售后技术服务/系统调试/硬件集成调试/技术沟通,卢海旭/销售经理,安徽云乐,汽车生产//20-99人,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.22&securityId=bx8WDgU8LxvSe-v1wdm-wQb4MeNlGVZQpVW4ahxgTHw8NdCypWm_ShZLc2qRviFDyZhldmcRk6fOtenj1xNU5_mGebKMIl02S-fjYsDCpmeZcrX2FAF2DtnTdzU3nzoppo39aFRiDSBJ
IT技术支持,杭州/余杭区/仓前,5-10K,经验不限,学历不限,智能硬件/人工智能/弱电系统/网络系统管理/音视频系统/安防系统/车辆系统/多媒体系统,秦志宏/总经理,杭州豫商电子有限公司,企业服务/未融资/0-20人,加班补助/年终奖,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.23&securityId=BJF1dNgmmgMTR-U1xovglMS00lSNQlMBuQaDCCKHWr7Ih168Q_Yqyo6Xq1TcaA40WAyvQDIQKl4_1tH7X7ljGPixC9M_OVdPTjn9HVtup1ImB4uzOqGcMbZreX29P9N1CI8XIYCjnw~~
深度学习,杭州/滨江区/长河,3-8K,经验不限,学历不限,人工智能/物联网/硬件,赵杰/总经理,杭州魔声智能科技,智能硬件/未融资/0-20人,年终奖/带薪年假/节日福利/社保,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.24&securityId=10_0VdhbQUMZ1-d1Be24VI15Fs3aGxLERDtT6SM3KCNoTlWwrhluEIgqPIkulNzhimA2-WEaAT9CsHDd2yvzY4CDwQknYtbQb6CYRK-6WfKnDFqD2Onki4fhzLFuSxfZW1rHc5HHDpA~
弱电施工 工程师,杭州/余杭区/西溪,7-12K,经验不限,学历不限,人工智能/智能硬件/网络协议/安防监控/技术管理/硬件实施,陈光华/招聘者,杭州佳闳宸科技有...,计算机服务//0-20人,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.25&securityId=r5GLBUP8ckdee-_1nQ1thoSb8MwtDG4ofKTEDqoB1VifB8dWk-tUy_-QozZeh5LHXb2CAijCjGLsP29dvEU0YaK_b39xPa0MGYOaPFeCU7AnJXfP6PDTG8A597u_-yjIDaIL6jB7lexhnQ~~
售后技术服务人员,杭州/余杭区/良渚,5-10K,经验不限,高中,售后工程师/售前工程师/计算机软件/IT领域/人工智能,袁明东/总经理,杭州赛顺数码科技,智能硬件/未融资/20-99人,五险一金,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.26&securityId=OYFzgNbQBfWY5-E1bMNpKLQIEwQISfAgEPhE5biVERfzFuQOmAHES1uOxTy2x_7mE57mX8PUE6RWXMf8SStZVNw69SOf8Oej7UTIJ2fhJ6GT05hslYGqtsmaceCPAdnRguCgs7LtHw~~
弱电智能化工程师,杭州/上城区/庆春路沿线,4-9K,在校/应届,学历不限,智慧城市/电气/智能硬件/物联网/信息化/人工智能/电子半导体/硬件实施,张金龙/总经理,海胆科技,通信/网络设备/未融资/0-20人,五险一金,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.27&securityId=RK-6YFi2NkjaM-01UvkhUYfmRQqExymbG85MkWt4r1iJf0aan6hyYb9-WagUc_d6j_Jg-APj3unB-QJfll4BF4KDmRAGGeFTUfh0UpRB3vLaOTVh3zgQJAQs9SLskSQ49vs3YVVd-7I~
机器人调试,杭州/滨江区/长河,4-8K,经验不限,学历不限,机器人/人工智能,石云/人事,云智动,机械设备/机电/重工/不需要融资/0-20人,节日福利/带薪年假/餐补/加班补助/零食下午茶/五险一金/年终奖,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.28&securityId=o1vNd5C5fbgfp-81iIV0VRbbprH2nSyjedrFba0jxyeTk8EYwBUJCpboPFVT_vcK-1BpoCIGcjpzLKR5BiUjuJHZWPUfZEuix0Vb_MIr6XlVH2qKUTf5lgNI7E29H352UYcqncEimSn1
监控安装,杭州/富阳区/富春,4-8K,经验不限,高中,系统运维/Windows/网络协议/网络设备/人工智能/物联网/计算机软件/网络安全,徐顺勇/经理,富阳百顺,通信/网络设备//0-20人,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.29&securityId=SLLNY87I-5K8Y-Y16tuv21r5xmUXKG4TtBv_JvKTN6SpJRqmZfkaGzND2RYuMwTLQlzyM3oh0xrDkKLpsvZRDyD83wzHVK49nKjHxDBIHZDvX31Loq74kW2QhJwdoL4tqID68UyFAvmCKQ~~
售后服务工程师,杭州/拱墅区/和平,5-8K·13薪,经验不限,学历不限,大数据/人工智能/系统运维,鲁梦瑶/HR主管,万智生科技,互联网//20-99人,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.30&securityId=dmlOixLyYyIfO-Q18inVtUziJ6XJeEQxEVgiel56rL31c722esZubuoAe0Ag9z_5zLj7CKSqSbUd9Bhl3KePrB2_bYO3CGwTIVq14q1FXR7PJCMq2bgtl1w0Iduo5GsbgV92-v1ez34~
产品经理,杭州//,6-11K,经验不限,学历不限,功能产品/商业产品/产品助理/人工智能/智能硬件/物联网/区块链,张志军/经理,环特企业,环保//20-99人,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.31&securityId=he5TW6fhsd5NM-j1Hi3xpX2boca3wsDqHH4imHEO1iK04a_uI6TPudtEm0WQheG3grh24Rh87FepVD96Y9PYI3Mkz-zXf35OliulAQJ7IxXwjfdesK0MS5kXQtup8q7rIpH-0UM7MA~~
视觉设计,杭州/西湖区/西溪,7-12K,经验不限,学历不限,人工智能/会展,胡平/总经理助理,麦兮,广告营销/未融资/20-99人,带薪年假/加班补助/年终奖/五险一金/零食下午茶/意外险/绩效奖金/节日福利/团建聚餐/全勤奖/底薪加提成/餐补/补充医疗保险/生日福利/员工旅游,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.32&securityId=ppdS237bUy1ll-H1TShMboI6qSwZmIOcbW_27CWhSZ3L4cJyMB6izj82bawkdgjHylltOkgLGk73bfts2t6XD0clA-SIsOhZHrVtLRWoQcLP3Celp5EIKfgPxBZJYIww1LAMR9_n-7I~
项目工程师,杭州/上城区/凤起东路,2-7K,经验不限,学历不限,项目专员/项目经理/项目助理/项目主管/人工智能/IT服务/教育培训/信息化,汪磊/经理,泉联,计算机硬件//20-99人,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.33&securityId=75_T2M7HaeXyA-D1DXBpvDmuAHmoR7YwPI4qDA3kH7VFRi4J_dwbgfeoJ_eMuo_agi4iy-rXGOwefmvaf3YrY0I88-TgONlJeTAfrPrAoKaCXzYd8s6I0cLpM-0vvm8jM2sFrebsjhA~
