工作名称,地址,薪资,经验要求,学历要求,技能要求,联系人,公司名,公司相关信息,公司福利,详情页url
数据分析师,北京//,150-200元/天,,本科,Python/Java/聚类分析/Spark/Shell/大数据/相关分析,赵阳/安全工程师,沃东天骏信息技术,电子商务/已上市/10000人以上,定期体检/全勤奖/免费班车/五险一金/员工旅游/年终奖/股票期权/带薪年假/餐补/加班补助/补充医疗保险/节日福利,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.46&securityId=laHpnxbrd4hCT-S1O5RuwV17bfoWQ_1cE8ZGJZ61_pEW5QcT_T_SjDHGDB1W6cBilOUwsLaGkGU6Fi6QmYQtf8odHyGUHHMcWuvYIwIUV7rGIrFjNIpMLYyooq2MVJFvk-NEDCm7kD4A
数据分析师,北京/朝阳区/酒仙桥,200-210元/天,,本科,SPSS/聚类分析/回归分析/因子分析,利女士/高级咨询总监,北京新思桥管理咨...,咨询/不需要融资/0-20人,带薪年假/员工旅游/五险一金,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.47&securityId=Db2D0fo1hbj3f-X13KIXUyDstqvCHqLEtY3Wg7l_FG_yWSpIfi6G2bofcgypx0tW5SOSplp71As5gSrhA2rxiaLKqlKjLIIgsoTiJUZkk_nBjrGxC6vnhbmxI2ZrMVTt_HLW8pOfLwk~
数据分析师,北京/朝阳区/三里屯,15-30K,经验不限,学历不限,英语可作为工作语言/数学/统计学专业/社区类产品/平台类产品/社交类产品,董梁梓/hr,时代传浮,社交网络/A轮/20-99人,五险一金/弹性上班时间/零食下午茶/节日福利/无着装要求/游戏机/员工旅游/带薪年假/愉快的氛围/股票期权,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.48&securityId=2jiDSUFueVYdV-y1-6K7m74yMa71C6IV49oL9ucC-gUXkx598PR6-9l2avC5OLocE8Rw9Ebczm8ZoLfei6CfNWcdJDfgJCFb6CBxqms3InA-WcmEfC9UJPeQVKEPuckRttqq9Tt10Y0~
数据分析师（2022应届生）,北京//,10-12K,在校/应届,硕士,回归分析/多元统计分析/因子分析/Excel/SPSS/R/SAS,李超/HRD,北纬通信,移动互联网/已上市/500-999人,零食下午茶/节日福利/五险一金/餐补/定期体检/带薪年假/通讯补贴/股票期权/年终奖/员工旅游,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.49&securityId=ZXzE7KzUSRGr5-41Hn470x9AyruI2OcWRuNnj5Fw4t-PW03mo8d46NuAiJZi6wNknbSQj8fRrdFf141XcyM1crqKFjDcJUxdVl3UNZI-vSZdB3bZSIJGZp-6kP2b_hH1keAGv9cm_Q~~
数据分析师助理,北京/海淀区/安宁庄,120-180元/天,,本科,Java/Python/HDFS/Matlab/Hadoop,王文京/招聘者,小米,互联网/已上市/10000人以上,餐补/补充医疗保险/五险一金/节日福利/年终奖/带薪年假/定期体检/股票期权/12%公积金,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.50&securityId=bUeAuyKaedUSZ-i17-xHx_Hn8JgfxFwQ2H18cTouHBJdR6We2tI-TsuFZ0u47lyR65Erxe7S2_vg3tQnmAS85Y7HuXrEAGrZbWwSwTLEEscCJpqt3XbMj2ALwI5zktdka2XbpIRs
实习数据分析师,北京/朝阳区/三元桥,90-140元/天,,本科,定性研究/竞品分析/营销活动效果分析/SQL/数据分析/商业分析经验/管理咨询工作经验/统计/数学相关专业,陆女士/HR,数说故事,互联网/C轮/500-999人,带薪年假/定期体检/节日福利/零食下午茶/员工旅游/五险一金/年终奖,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.51&securityId=oWiYGoTeA2T9v-H1xgGq_fv3R9lAv1jq2tRP0uNJUJjcoCVdi4SGRPMa3zIno3wpjhFatAuKHrgV5s_EksljrNdWx88TqLHPtnsfvSebIuroK1-JAv0D5lOPf1SwqHtvhBbtQq67hA~~
股票数据分析师,北京/朝阳区/朝外,300-500元/天,,本科,Python,范祥高/HR,捷耐拓,服装/纺织/皮革/未融资/20-99人,定期团建/五险一金/带薪年假/员工旅游/带薪年假,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.52&securityId=iU72WegPHskex-d1fErzXXIBhh2xSbuB2W2cUNPtjrnINJAQ1r7hPoP7ZLZkO5HaP_HcRG25fbl6a5GFtyU3mdU4gujTdb1A7ekWe5R2jciuQLWHxS7bGOVxbLLIHwdFRdS2Zb_Zjrs~
python数据分析师,北京/海淀区/上地,15-30K·13薪,经验不限,学历不限,Python/描述统计/相关分析/聚类分析,史先生/数据部,车慧达,互联网/天使轮/20-99人,员工旅游/年终奖/定期体检/全勤奖/通讯补贴/五险一金/节日福利/餐补,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.53&securityId=t5cIGV9AFO-4R-Y1-X1F5HblEtaSojaZAD78gh5325egcS8CvLufh8Wx1xiqpAEUqa9N1f9BasA5dAWusiTzIwaju6siix_R5jF-i1M7Si4UBLQNkBfsT65h-Dv2d_-qPJeyeuH1EqY~
数据分析师-BI,北京//,30-60K·15薪,经验不限,学历不限,Python/SQL/Tableau/BI,王女士/猎头顾问,某大型互联网上市集团公司,电子商务/D轮及以上/1000-9999人,五险一金/定期体检/餐补/加班补助/包吃/带薪年假/年终奖,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.54&securityId=mXdQ3owv06486-V1fasROoL8i71XC5Xx0V1fmOPx6b7Rw2-Javnx0M02BmQCe2z0vg0-EzrA9WEbdg6jHFNJOo_vgk8uSqgMZNWuZzt-MYKPmCa7A506PdRpOXpMN4eaUMl8vOCrZBQkzpbNJ7zbwtjwcsz1qkxh0Ehv2QjvL1gBrjf1
风险数据分析师,北京/朝阳区/鸟巢,150-200元/天,,本科,数据分析/金融行业/舆情风险/风控策略/金融,周宁捷/招聘者,拓尔思,互联网/已上市/1000-9999人,五险一金/年终奖/定期体检/零食下午茶/带薪年假/餐补/通讯补贴/交通补助/节日福利/补充医疗保险,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.55&securityId=RI518SEbih3DW-y1-x30VGCF8nXpgEU8b_A_Cg6ZJ92cEZ0CkQ8xs_JoHIBysZDTKSbvYWzD93-f1FOlMDUkjiQVtyuDax6e2Nxj6kY4cNO-ZlYTAB-yLkH3z3tnMcX-sglU
数据分析师（含实习生）,北京/海淀区/中关村,150-260元/天,,本科,Pandas/Python,陈先生/招聘者,中金创新,基金//20-99人,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.56&securityId=azoxhHi4sAfp1-71MZGZ-3Y4rGj2gvxDhkqwL1UZ0zdQsbLM1shdnsQ0MCfE4h2BiM4ydA_XJL65Cgkffypu3Ymgi3_CjcrAuQpNWN5eOO4YL-TxWW1u0R4fzWd32svWKeQZD9oD9yvdNA~~
资深数据分析师（北京）,北京//,30-40K,经验不限,学历不限,Python/SQL,赵曼蕾/猎头顾问,某大型数据服务公司,数据服务/C轮/500-999人,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.57&securityId=1OBhlkIiJuO2l-u1E8i6a9-utp7KR8YbEQmtYqSY_m1h_XyGnZya0j0xoRcrKjL6oPDWm_FWNMrZwNm9hRUvVWOSczMfBQ3Vwk5Bj6thwnoo-d6vE7E-V-ZdQiE2ajzIF4Bpw0UI8Hs~
数据分析师实习生,北京/西城区/马甸,2-3K,在校/应届,本科,数据分析,张学帅/人力资源,中科易研,数据服务/未融资/20-99人,五险一金/零食下午茶/员工旅游/带薪年假/节日福利,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.58&securityId=HRMSNVk7qeVIf-W1yEydghcxk4ociWW6dBZ7ledMi7CYdSIK0wVD7OTNybzmrDpjPihK17aDoumXa7hkj6eosaX-4GnyLYxz9GXv0W4b27bAvhUci9cHG089vzrXWZ4Eg6d1Mer_u4HN9weV9tflb1JjtvwSatVP4j1FNBZoG-Cr0Q~~
数据分析师（HR方向）,北京/朝阳区/望京,150-300元/天,,本科,SQL/Tableau,孙雷雷/HR数据分析师,美团,互联网/已上市/10000人以上,通讯补贴/意外险/五险一金/带薪年假/股票期权/高温补贴/团建聚餐/补充医疗保险/保底工资/年终奖/餐补/节日福利/夜班补助/生日福利/交通补助/工龄奖/有无线网/底薪加提成/定期体检/员工旅游,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.59&securityId=SzM14sbmmQBFo-k1xfCj0Rs0_cyHBOStp5j-v3KUeHoMdc7KzejAe9kJXYtXZLAdHFiA0rSJP8B8oQzSsFF6g-ETmUrRjcEIiFeZgukqvezElbHtJ7Ea9IjA7TT8hKWF0nTyKFc9qG3b
