崖上的波妞,2008,8.6,444078
战争之王,2005,8.7,336802
爱乐之城,2016,8.4,807831
谍影重重2,2004,8.7,327207
燃情岁月,1994,8.8,267798
末路狂花,1991,8.9,217865
火星救援,2015,8.5,660625
阿飞正传,1990,8.5,468783
谍影重重,2002,8.6,393613
再次出发之纽约遇见你,2013,8.6,398423
海洋,2009,9.1,150405
朗读者,2008,8.6,430487
千年女优,2001,8.8,233684
穿越时空的少女,2006,8.6,357802
香水,2006,8.5,512128
地球上的星星,2007,8.9,191185
我爱你,2011,9.1,153710
完美陌生人,2016,8.5,493837
弱点,2009,8.7,266720
驴得水,2016,8.3,859835
浪潮,2008,8.7,258423
