页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数
7,4795569639785653,四川长安网,2022-07-26 19:52:42,#蜀安君播报# 【辟谣，网传“成华区全区静态管理”系谣言！】7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。       根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起 ...全文,https://m.weibo.cn/detail/4795569639785653,0,6,9
7,4795532139300442,成华发布,2022-07-26 17:23:41,【辟谣，网传“成华区全区静态管理”系谣言！】7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。       根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街道 ...全文,https://m.weibo.cn/detail/4795532139300442,20,15,20
7,4795559422986658,绿色蒲江,2022-07-26 19:12:06,【辟谣！网传“成华区全区静态管理”系谣言】7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街道李家沱、 ...全文,https://m.weibo.cn/detail/4795559422986658,10,8,7
7,4795539134349999,四川观察,2022-07-26 17:51:29,【辟谣，网传“成华区全区静态管理”系谣言！】7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街道李家沱 ...全文,https://m.weibo.cn/detail/4795539134349999,3,10,21
7,4795552506579863,新都服务,2022-07-26 18:44:37,#微博辟谣#【辟谣！网传“成华区全区静态管理”系谣言】 7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街 ...全文,https://m.weibo.cn/detail/4795552506579863,1,0,0
7,4795533305319551,成都商报,2022-07-26 17:28:19,【辟谣，网传“成华区全区静态管理”系谣言！】7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街道李家沱 ...全文,https://m.weibo.cn/detail/4795533305319551,44,50,123
7,4795549959848891,一点视频,2022-07-26 18:34:29,【辟谣！#网传成华区全区静态管理是谣言#】7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。@看成都 看成都的微博视频 ,https://m.weibo.cn/detail/4795549959848891,0,0,0
7,4795548362867544,生活日报,2022-07-26 18:28:08,【辟谣！#网传成华区全区静态管理是谣言#】7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。看成都的微博视频 via.@看成都 ,https://m.weibo.cn/detail/4795548362867544,2,0,2
7,4795546672041907,华西社区报官博,2022-07-26 18:21:26,【辟谣，网传“成华区全区静态管理”系谣言！】,https://m.weibo.cn/detail/4795546672041907,0,0,0
8,4795546672041907,华西社区报官博,2022-07-26 18:21:26,【辟谣，网传“成华区全区静态管理”系谣言！】,https://m.weibo.cn/detail/4795546672041907,0,0,0
8,4795546016942022,天府发布,2022-07-26 18:18:50,【辟谣！网传“成华区全区静态管理”系谣言】#天府新区新型冠状病毒防控#  7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日1 ...全文,https://m.weibo.cn/detail/4795546016942022,0,1,1
8,4795544868231946,CDTV-3热线188,2022-07-26 18:14:16,【辟谣，网传“成华区全区静态管理”系谣言！】7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。       根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街道 ...全文,https://m.weibo.cn/detail/4795544868231946,0,0,0
8,4795542687453714,家庭与生活报,2022-07-26 18:05:36,【网传“成华区全区静态管理”系谣言】据“成华发布”官方微博消息：7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起 ...全文,https://m.weibo.cn/detail/4795542687453714,0,0,0
8,4795539519966759,新都资讯,2022-07-26 17:53:01,【辟谣！网传“成华区全区静态管理”系谣言】#新都发布#  7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路 ...全文,https://m.weibo.cn/detail/4795539519966759,1,3,1
8,4795537952344344,云财经,2022-07-26 17:46:47,实时快报：【#成都：网传“成华区全区静态管理”系谣言#】云财经讯，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。 ,https://m.weibo.cn/detail/4795537952344344,0,1,0
8,4795537822323524,金温江,2022-07-26 17:46:16,【辟谣！网传“成华区全区静态管理”系谣言】 7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街道李家沱、 ...全文,https://m.weibo.cn/detail/4795537822323524,0,1,0
8,4795535997275698,成都新闻广播,2022-07-26 17:39:01,【辟谣！网传“成华区全区静态管理”系谣言】 7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街道李家沱、 ...全文,https://m.weibo.cn/detail/4795535997275698,0,0,0
8,4795535875116642,新浪四川,2022-07-26 17:38:32,【辟谣！#网传成华区全区静态管理系谣言#】#成都疫情最新情况# 7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府 ...全文,https://m.weibo.cn/detail/4795535875116642,2,9,6
8,4795535233650476,微成都,2022-07-26 17:35:59,【辟谣！网传“成华区全区静态管理”系谣言】 7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街道李家沱、 ...全文,https://m.weibo.cn/detail/4795535233650476,1,5,7
9,4795534504890427,云上深夜快递,2022-07-26 17:33:05,【辟谣，网传“成华区全区静态管理”系谣言！】7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街道李家沱 ...全文,https://m.weibo.cn/detail/4795534504890427,0,0,0
9,4795534051121101,看度新闻,2022-07-26 17:31:17,辟谣！【#网传成华区全区静态管理系谣言#】据“成华发布”官方微博消息：7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16 ...全文,https://m.weibo.cn/detail/4795534051121101,0,0,0
9,4795533891213472,爱看头条,2022-07-26 17:30:39,【辟谣，网传“成华区全区静态管理”系谣言！】7月26日，一则“成华区-暂定7天全区静态管理”消息在网上流传。据成华区新冠疫情防控指挥部核实，此信息为谣言。根据7月26日《成都市成华区新冠肺炎疫情防控指挥部关于进一步加强社会面管控的通告》，成华区自2022年7月26日16时起，对府青路街道李家沱 ...全文,https://m.weibo.cn/detail/4795533891213472,1,3,6
9,4793696073024865,兰州日报,2022-07-21 15:47:49,【兰州市互联网信息办公室关于依法严厉打击网络谣言的通告】当前正值兰州市新冠肺炎疫情防控关键时期，全市上下群策群力、众志成城，奋勇抗击疫情。但近期，兰州市互联网信息办公室连续接到市民反映，个别网民为博取关注、吸引眼球，在未经核实的情况下，利用微信群、朋友圈、微博、头条号、抖音等新 ...全文,https://m.weibo.cn/detail/4793696073024865,0,0,0
9,4792867006972466,老马Talk呀,2022-07-19 08:53:23,#兰州疫情# 别再给我扯什么大号流感，这个社会上叫嚷着躺平的只有三种人，一种是蠢的，一种是坏的，还有一种是又蠢又坏的。那些看上两篇网络上热传的境外ip发的什么哈佛牛津麻省的医学专家的谣言就到处瞎说的同胞们，别给我扯什么动态清零是我们的意识形态决定的，是我们的官员为了政绩，醒醒吧！新冠 ...全文,https://m.weibo.cn/detail/4792867006972466,29,671,3159
9,4791136000934524,中国青年报,2022-07-14 14:15:00,【珠海深夜回应，3名散布谣言者被罚】7月11日18时50分左右，珠海市在中大五院发热门诊发现本轮疫情首例新冠病毒阳性个案。截至目前，所有阳性个案均为海莲幼儿园关联病例，都在同一传播链上，自第4例个案起全部在隔离管控人员或管控区域发现，疫情处置工作正在有序有效进行。7月13日，网传“珠海封城 ...全文,https://m.weibo.cn/detail/4791136000934524,1,4,11
9,4791052902861028,观察者网,2022-07-14 08:44:48,【#3人散布珠海封城谣言被处罚#】13日晚，“珠海发布”发布通告，7月11日18时50分左右，广东珠海市在中大五院发热门诊发现本轮疫情首例新冠病毒阳性个案。7月13日，网传“珠海封城”为不实消息。 ,https://m.weibo.cn/detail/4791052902861028,28,48,180
9,4791067965392970,东方网,2022-07-14 09:44:39,【#广东珠海封城消息不实#，3人散布谣言被处罚】据珠海发布：珠海市新冠肺炎疫情防控指挥部办公室通报：7月13日，网传“珠海封城”为不实消息。另据珠海市香洲区、高新区新型冠状病毒肺炎疫情防控指挥部发布的通告，3名人员因散布“珠海封城”涉疫情虚假信息，分别被处以行政拘留和行政罚款处罚。（东 ...全文,https://m.weibo.cn/detail/4791067965392970,1,0,2
9,4791024645571312,中国新闻网,2022-07-14 06:52:31,【#网传珠海封城消息不实#】#3人散布珠海封城谣言被处罚# 据珠海发布：珠海市新冠肺炎疫情防控指挥部办公室通报：7月13日，网传“珠海封城”为不实消息。另据珠海市香洲区、高新区新型冠状病毒肺炎疫情防控指挥部发布的通告，3名人员因散布“珠海封城”涉疫情虚假信息，分别被处以行政拘留和行政罚款处 ...全文,https://m.weibo.cn/detail/4791024645571312,73,42,155
10,4791081898607256,中国经营报,2022-07-14 10:40:01,【#网传珠海封城消息不实#】#3人散布珠海封城谣言被处罚# 据珠海发布：珠海市新冠肺炎疫情防控指挥部办公室通报：7月13日，网传“珠海封城”为不实消息。另据珠海市香洲区、高新区新型冠状病毒肺炎疫情防控指挥部发布的通告，3名人员因散布“珠海封城”涉疫情虚假信息，分别被处以行政拘留和行政罚款处 ...全文,https://m.weibo.cn/detail/4791081898607256,0,0,1
10,4791067965392970,东方网,2022-07-14 09:44:39,【#广东珠海封城消息不实#，3人散布谣言被处罚】据珠海发布：珠海市新冠肺炎疫情防控指挥部办公室通报：7月13日，网传“珠海封城”为不实消息。另据珠海市香洲区、高新区新型冠状病毒肺炎疫情防控指挥部发布的通告，3名人员因散布“珠海封城”涉疫情虚假信息，分别被处以行政拘留和行政罚款处罚。（东 ...全文,https://m.weibo.cn/detail/4791067965392970,1,0,2
10,4791024645571312,中国新闻网,2022-07-14 06:52:31,【#网传珠海封城消息不实#】#3人散布珠海封城谣言被处罚# 据珠海发布：珠海市新冠肺炎疫情防控指挥部办公室通报：7月13日，网传“珠海封城”为不实消息。另据珠海市香洲区、高新区新型冠状病毒肺炎疫情防控指挥部发布的通告，3名人员因散布“珠海封城”涉疫情虚假信息，分别被处以行政拘留和行政罚款处 ...全文,https://m.weibo.cn/detail/4791024645571312,73,42,155
10,4791062000043280,经济观察报,2022-07-14 09:20:57,【#网传珠海封城消息不实#】#3人散布珠海封城谣言被处罚# 据珠海发布：珠海市新冠肺炎疫情防控指挥部办公室通报：7月13日，网传“珠海封城”为不实消息。另据珠海市香洲区、高新区新型冠状病毒肺炎疫情防控指挥部发布的通告，3名人员因散布“珠海封城”涉疫情虚假信息，分别被处以行政拘留和行政罚款处 ...全文,https://m.weibo.cn/detail/4791062000043280,1,1,1
10,4791051590307949,长三角之声,2022-07-14 08:39:35,【#网传珠海封城消息不实#】#3人散布珠海封城谣言被处罚# 据珠海发布：珠海市新冠肺炎疫情防控指挥部办公室通报：7月13日，网传“珠海封城”为不实消息。另据珠海市香洲区、高新区新型冠状病毒肺炎疫情防控指挥部发布的通告，3名人员因散布“珠海封城”涉疫情虚假信息，分别被处以行政拘留和行政罚款处 ...全文,https://m.weibo.cn/detail/4791051590307949,1,0,1
10,4791034741523221,爱看头条,2022-07-14 07:32:38,【#网传珠海封城消息不实#】#3人散布珠海封城谣言被处罚# 据珠海发布：珠海市新冠肺炎疫情防控指挥部办公室通报：7月13日，网传“珠海封城”为不实消息。另据珠海市香洲区、高新区新型冠状病毒肺炎疫情防控指挥部发布的通告，3名人员因散布“珠海封城”涉疫情虚假信息，分别被处以行政拘留和行政罚款处 ...全文,https://m.weibo.cn/detail/4791034741523221,0,1,0
