页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数
15,4801414993807383,新华县融,2022-08-11 23:00:03,【#贵州村BA出圈#感受乡村体育的火热】近日，贵州台江县台盘乡台盘村的乡村篮球赛因其热烈的氛围而迅速走红网络。由于场地在农村、比赛由村民组织、参赛者以村民为主，网友亲切地称为“村BA”。 新华县融的微博视频 ,https://m.weibo.cn/detail/4801414993807383,1,0,1
16,4801414993807383,新华县融,2022-08-11 23:00:03,【#贵州村BA出圈#感受乡村体育的火热】近日，贵州台江县台盘乡台盘村的乡村篮球赛因其热烈的氛围而迅速走红网络。由于场地在农村、比赛由村民组织、参赛者以村民为主，网友亲切地称为“村BA”。 新华县融的微博视频 ,https://m.weibo.cn/detail/4801414993807383,1,0,1
16,4801411990165138,独行骑士·Lwf,2022-08-11 22:48:07,贵州“村BA”向姚明和CBA发出邀请网页链接 ,https://m.weibo.cn/detail/4801411990165138,0,0,2
16,4801409956452266,篮球记事本,2022-08-11 22:40:02,#广东男篮助力贵州乡村篮球振兴#村BA带火贵州篮球，让我们一起助力乡村篮球发展！#村BA已有70多年历史# 篮球记事本的微博视频 ,https://m.weibo.cn/detail/4801409956452266,0,0,9
16,4801408408752543,贵州榜哥吃喝玩乐,2022-08-11 22:33:53,#贵州村BA球员向姚明发出邀请# 贵州的村BA球员向姚明发出邀请，希望他能带CBA来贵州打一场友谊赛。从五月份以来，贵州台江县台盘乡就一直人山人海，这个乡村篮球场就备受关注，恕我直言，哪怕是CBA的比赛现场，也未必能有如此浓郁的篮球氛围，这些都是贵州本土球员，他们虽然个子不高，球技比不 ...全文,https://m.weibo.cn/detail/4801408408752543,3,1,6
16,4801403913249764,金融民工美少女,2022-08-11 22:16:01,#姚明说有机会很想去贵州村BA现场#偶像来了 ,https://m.weibo.cn/detail/4801403913249764,0,0,1
16,4801403597363110,夏小柠YYY,2022-08-11 22:14:46,我也来感受一下村BA的精彩瞬间 ,https://m.weibo.cn/detail/4801403597363110,0,0,0
16,4801402615890174,吴飞77789,2022-08-11 22:10:51,只要是真实的就被广大人民喜爱，就怕假农民参加出了好成绩反倒索然无味了！有感于：“村BA”火爆出圈 看民间体育里的“乡土中国”“村BA”火爆出圈 看民间体育里的“乡土中国” ,https://m.weibo.cn/detail/4801402615890174,0,0,0
16,4801395331695205,扬子晚报,2022-08-11 21:41:54,#紫牛新闻#【场地简陋没有明星，#贵州村BA篮球赛为啥火出圈# ？】,https://m.weibo.cn/detail/4801395331695205,0,0,3
16,4801393845867975,五星体育广播,2022-08-11 21:36:01,什么比赛用一头牛做奖品？村BA的火，其实不是偶然，正是那平凡烟火气，也最抚凡人心。#篮球##广西村ba# 五星体育广播的微博视频 ,https://m.weibo.cn/detail/4801393845867975,0,1,0
16,4801392927054667,仰望星空psc,2022-08-11 21:32:22,贵阳再见，期待下次见面，感受下黔东南村BA的篮球激情。 毕节 ,https://m.weibo.cn/detail/4801392927054667,0,0,1
17,4801389517870153,田野捕手,2022-08-11 21:18:49,村里组成篮球队、村民成为拉拉队、村际打起友谊赛，都是在“乡村时空”中增添了一层“文化时空”，把乡村和村民纳入了一个“文化磁场”之中。“村BA”也启示我们，农村文化建设、村风民风滋养，绝非朝夕之功，绝非简单输入，而需要在田野上、村庄中找回文化发展的内生动力。这可以是体育，可以是艺术， ...全文,https://m.weibo.cn/detail/4801389517870153,0,0,0
17,4801389409343882,阿燚啊啊,2022-08-11 21:18:23,俺们也有村BA 🏀🏀🏀 ,https://m.weibo.cn/detail/4801389409343882,0,6,2
17,4801388405595047,福泉视界,2022-08-11 21:14:24,“村BA”向姚明和CBA发出邀请：我们在贵州“村BA”等您！ ,https://m.weibo.cn/detail/4801388405595047,1,3,7
17,4801382755862586,猫耳朵30,2022-08-11 20:51:57,#贵州村BA向姚明和CBA发出邀请##我们在村BA等您# ！ ,https://m.weibo.cn/detail/4801382755862586,0,0,0
