页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数
18,4800925124008276,中国篮球,2022-08-10 14:33:29,#马布里想现场感受村BA# 近日，贵州省黔东南州台盘村举办的篮球赛爆火网络，@马布里Marbury 表示：期待能够现场感受一下“乡村洛克公园”的篮球氛围，那里的篮球氛围是我所热爱的街头篮球氛围！ ,https://m.weibo.cn/detail/4800925124008276,4,5,32
18,4801279374661541,史墨尘,2022-08-11 14:01:09,#村BA超燃现场# 这场超燃“村”BA精彩纷呈，这是篮球最美的一面！生为中国人，为民族感动骄傲！身为贵州人，为家乡感动骄傲！ 史墨尘的微博视频 ,https://m.weibo.cn/detail/4801279374661541,4,4,19
18,4801319682448485,孟爷我容易吗我,2022-08-11 16:41:19,#贵州村BA球员和裁判多是当地农民#好牛逼啊，贵州人打球很强硬，我感觉🤓 ,https://m.weibo.cn/detail/4801319682448485,0,0,0
18,4801318734007453,珠江商报,2022-08-11 16:37:33,【顺德篮球队打卡“村BA”火爆全网】8月9日下午6时至晚上11时，网上暴火的中国“村BA”贵州黔东南苗族侗族自治州台江县台盘村，进入“顺德时间”。网页链接 ,https://m.weibo.cn/detail/4801318734007453,0,0,0
18,4801317341498964,这里是贵州,2022-08-11 16:32:01,近日，堪称最接地气的篮球比赛“村BA”正在贵州黔东南火热举行，奖品相当实惠，看视频里小队员们左手一只鸭，右手一个瓜，网友说：这个奖励比拿奖杯还要爽！ #艺起游贵州#  视频来源：掌上黔东南  这里是贵州的微博视频 ,https://m.weibo.cn/detail/4801317341498964,0,0,0
18,4801276590162195,史墨尘,2022-08-11 13:50:04,被外交部发言人赵立坚发文点赞的贵州“村BA”究竟有多火？看看这场面你就知道了。这里没有大屏幕，没有木地板，没有赞助商，没有专业的球队，只有一群朴实无华的农村人，但这个球场氛围堪比NBA，一度燃暴全网。这就是贵州黔东南台江县台盘村的乡村蓝球比赛，参赛球员全是十里八乡的村民，年龄跨度大 ...全文,https://m.weibo.cn/detail/4801276590162195,1,3,19
19,4801318734007453,珠江商报,2022-08-11 16:37:33,【顺德篮球队打卡“村BA”火爆全网】8月9日下午6时至晚上11时，网上暴火的中国“村BA”贵州黔东南苗族侗族自治州台江县台盘村，进入“顺德时间”。网页链接 ,https://m.weibo.cn/detail/4801318734007453,0,0,0
19,4801317341498964,这里是贵州,2022-08-11 16:32:01,近日，堪称最接地气的篮球比赛“村BA”正在贵州黔东南火热举行，奖品相当实惠，看视频里小队员们左手一只鸭，右手一个瓜，网友说：这个奖励比拿奖杯还要爽！ #艺起游贵州#  视频来源：掌上黔东南  这里是贵州的微博视频 ,https://m.weibo.cn/detail/4801317341498964,0,0,0
19,4801276590162195,史墨尘,2022-08-11 13:50:04,被外交部发言人赵立坚发文点赞的贵州“村BA”究竟有多火？看看这场面你就知道了。这里没有大屏幕，没有木地板，没有赞助商，没有专业的球队，只有一群朴实无华的农村人，但这个球场氛围堪比NBA，一度燃暴全网。这就是贵州黔东南台江县台盘村的乡村蓝球比赛，参赛球员全是十里八乡的村民，年龄跨度大 ...全文,https://m.weibo.cn/detail/4801276590162195,1,3,19
19,4800945361258693,果然视频,2022-08-10 15:53:54,#贵州村BA球员和裁判多是当地农民#【#爆火的村BA已有86年历史#，今年170多个队参赛】一场职业篮球赛的现场观众超万人，这并不意外。但你能想象一场村办篮球赛的现场观众超万人、且在网上“席卷”一波高流量吗？今夏，在贵州省台江县台盘村，比气温还要热的，是一场火爆全网的“村BA”。赛场是村里的露 ...全文,https://m.weibo.cn/detail/4800945361258693,3,1,56
